ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58
485	PB13-0596	M	Morpho	epistrophus	11.69837	under	6	0.1603296	0.0240977	0.1760125	-0.0348312	0.1535568	-0.0961073	0.1160181	-0.1531702	0.0708113	-0.2023032	0.0142887	-0.244255	-0.0593124	-0.2695573	-0.1922831	0.1487308	-0.1673146	0.1366871	-0.2001803	0.1168841	-0.0937161	0.0858115	-0.0796953	0.0723911	-0.1498786	0.0397179	-0.0947438	-0.0108926	0.1661912	-0.0558113	0.1344716	-0.1211061	0.0924153	-0.173293	0.039508	-0.2240535	-0.0213748	-0.2567075	0.1362671	0.0545088	0.108984	0.077544	0.0779872	0.0958379	0.0461306	0.1120301	0.0128131	0.1251572	-0.0212919	0.1361621	-0.0553639	0.1458792	-0.0894741	0.1525889	-0.1236095	0.1573572	-0.1575468	0.1607025
486	PB13-0597	M	Morpho	epistrophus	10.81626	under	6	0.1614834	0.023413	0.1725854	-0.0368357	0.1508941	-0.0968896	0.1137797	-0.1569916	0.0728224	-0.202499	0.0143499	-0.2463601	-0.0611995	-0.2588334	-0.1947855	0.1490277	-0.1763232	0.1335454	-0.2043388	0.1142855	-0.0912537	0.0866471	-0.0762858	0.0746777	-0.1463621	0.040618	-0.0876063	-0.0053575	0.1649252	-0.0560093	0.1363592	-0.1229574	0.0951637	-0.1768365	0.0415541	-0.2282456	-0.0217333	-0.254032	0.1364416	0.0545241	0.1087515	0.077082	0.0785153	0.0966341	0.0465622	0.1129782	0.0135815	0.1275569	-0.0209565	0.1380812	-0.0554837	0.1463818	-0.0897304	0.1523932	-0.1239894	0.1556496	-0.1577211	0.1583523
487	PB13-0598	M	Morpho	epistrophus	11.08719	under	6	0.1621527	0.021129	0.1714511	-0.0330047	0.1492126	-0.0910112	0.115579	-0.151061	0.0728531	-0.20369	0.0115973	-0.248565	-0.0638134	-0.2630917	-0.1914452	0.1492005	-0.1672558	0.1351367	-0.2009933	0.112648	-0.0961631	0.086621	-0.084187	0.07616	-0.1442595	0.0331246	-0.0934673	-0.0110068	0.1621071	-0.0551912	0.1347679	-0.1218159	0.0958183	-0.1771798	0.0408445	-0.2273766	-0.0211868	-0.2583404	0.1373209	0.0543509	0.1107368	0.0783623	0.0801586	0.0982863	0.0477214	0.114217	0.0145952	0.1285242	-0.0198683	0.1398226	-0.0547005	0.1473758	-0.0890824	0.1525474	-0.1233995	0.1553948	-0.1570943	0.1584335
488	PB13-0599	M	Morpho	epistrophus	10.62649	under	6	0.151097	0.0184219	0.1670192	-0.041992	0.1463331	-0.0982799	0.1195985	-0.1517925	0.0777345	-0.2019145	0.0197664	-0.2481067	-0.0526437	-0.267684	-0.1936772	0.1544631	-0.1734163	0.1412379	-0.1999653	0.1213079	-0.0854821	0.0888277	-0.0758915	0.0771582	-0.1462044	0.0424484	-0.0840065	-0.0101497	0.1613629	-0.0536311	0.1351554	-0.1204521	0.0969265	-0.1768181	0.0441449	-0.2298801	-0.0204223	-0.258231	0.1288415	0.0491643	0.1038961	0.0726212	0.0757632	0.0938474	0.0449007	0.1116874	0.0120773	0.1263295	-0.0222838	0.1368416	-0.0564738	0.146322	-0.0903892	0.1544436	-0.1245356	0.160468	-0.1592255	0.1633416
489	PB13-0600	M	Morpho	epistrophus	10.83093	under	6	0.1578159	0.0367578	0.1724033	-0.0285508	0.1428872	-0.0891417	0.106082	-0.1513549	0.0669474	-0.2065569	0.0142314	-0.2584271	-0.064123	-0.2774462	-0.1822146	0.1481102	-0.1615979	0.1357421	-0.1922263	0.1137764	-0.0898926	0.0881827	-0.0761548	0.0744688	-0.1417223	0.0308488	-0.0921589	-0.0148312	0.158426	-0.0530685	0.1251513	-0.115628	0.0896382	-0.1716316	0.043864	-0.2298661	-0.0179446	-0.2726312	0.1387326	0.0589688	0.1097883	0.0810379	0.0785988	0.0989303	0.046774	0.1151609	0.0136549	0.1294697	-0.0208342	0.1400427	-0.0552568	0.1489659	-0.0896729	0.1543074	-0.1239045	0.1572856	-0.1572917	0.1570784
490	PB13-0601	M	Morpho	epistrophus	11.7	under	6	0.1564924	0.0288191	0.1659558	-0.0451668	0.1469179	-0.1033997	0.1121699	-0.1518633	0.0752168	-0.2017112	0.0164439	-0.2466367	-0.0538923	-0.2688109	-0.1924631	0.1489749	-0.1688947	0.136451	-0.1987046	0.1142539	-0.0893638	0.0878022	-0.0773379	0.0769169	-0.1438267	0.0369039	-0.0866426	-0.0133145	0.1624507	-0.0547689	0.1328156	-0.120958	0.0938278	-0.1753208	0.0413738	-0.2280519	-0.0211821	-0.2595467	0.1351732	0.0543656	0.107994	0.0773935	0.0775211	0.09658	0.0462304	0.1140639	0.0135378	0.1298171	-0.0210432	0.1415381	-0.0558736	0.1503343	-0.0905435	0.1559769	-0.1250586	0.1588501	-0.1592944	0.160508
491	PB13-0602	M	Morpho	epistrophus	12.86491	under	6	0.1520239	0.0210938	0.1670094	-0.0356715	0.1457473	-0.089742	0.1101061	-0.1477316	0.0738556	-0.2016463	0.0196388	-0.2533665	-0.0512385	-0.2793646	-0.188321	0.1550087	-0.1625787	0.1408068	-0.1958865	0.1185958	-0.0946111	0.0898726	-0.0815346	0.0787556	-0.1426256	0.0394581	-0.0867694	-0.0124532	0.1625253	-0.0542894	0.1290666	-0.1173377	0.0920789	-0.1727561	0.045054	-0.230268	-0.0167084	-0.2689289	0.1300122	0.0492392	0.1044578	0.072287	0.0763347	0.0934729	0.0454284	0.11106	0.0130497	0.1263233	-0.0205399	0.1393088	-0.0547791	0.1493516	-0.0891066	0.1566755	-0.1236289	0.1597777	-0.1580604	0.1624684
492	PB13-0603	M	Morpho	epistrophus	12.4209	under	6	0.16046	0.0188807	0.172669	-0.0358845	0.1492745	-0.093943	0.1084709	-0.1509311	0.0723465	-0.1977969	0.0212051	-0.2491654	-0.0516213	-0.2707007	-0.1957774	0.1569504	-0.1685576	0.1409743	-0.2058977	0.1177504	-0.0848116	0.0851347	-0.0684685	0.0707375	-0.1481048	0.0384642	-0.0934017	-0.0078816	0.1623229	-0.0541521	0.132338	-0.1194382	0.089328	-0.170506	0.0422946	-0.2272764	-0.0180391	-0.265414	0.1327903	0.0515292	0.1052186	0.0728677	0.076018	0.092779	0.0450744	0.1101725	0.0123987	0.1246224	-0.0212255	0.1371062	-0.0551003	0.1479126	-0.0893668	0.1548635	-0.1237069	0.1591211	-0.1581298	0.1632237
493	PB13-0604	M	Morpho	epistrophus	13.32923	under	6	0.1448916	0.0448534	0.1748542	-0.051432	0.1516791	-0.1096106	0.1101979	-0.1586259	0.073106	-0.2039945	0.0161706	-0.2455257	-0.0556025	-0.2663465	-0.184605	0.1495612	-0.1624786	0.1341904	-0.1974531	0.1133184	-0.0933132	0.09262	-0.0809539	0.0814175	-0.1443479	0.0373638	-0.0907544	-0.0055528	0.1714886	-0.0577235	0.137472	-0.1246821	0.0948763	-0.1753659	0.0404936	-0.22584	-0.021521	-0.2572379	0.1348511	0.0570342	0.1067875	0.0790417	0.0762401	0.0978206	0.0443515	0.1140324	0.0112332	0.1277986	-0.0227906	0.1396964	-0.0574286	0.1478553	-0.0917878	0.1530588	-0.1260142	0.1557604	-0.1596425	0.1565143
494	PB13-0605	M	Morpho	epistrophus	10.22627	under	6	0.1633682	0.0083595	0.1689535	-0.0358038	0.1456766	-0.0894325	0.1145848	-0.1455669	0.074865	-0.1986145	0.0181126	-0.2505442	-0.0525837	-0.2711196	-0.1942077	0.1528471	-0.1706154	0.1397838	-0.2045802	0.1206981	-0.0909502	0.08774	-0.0775394	0.0741649	-0.1471561	0.0396361	-0.0897703	-0.0075864	0.1603356	-0.0536753	0.1311016	-0.1186937	0.0928334	-0.1733536	0.0432781	-0.2283768	-0.018268	-0.26488	0.1318119	0.05005	0.1062902	0.0733166	0.0774137	0.0937461	0.0466116	0.1116514	0.0138053	0.126263	-0.0202528	0.1377999	-0.054464	0.1473112	-0.0886019	0.1544185	-0.1229155	0.158262	-0.1571371	0.161599
495	PB13-0606	F	Morpho	epistrophus	12.98296	under	6	0.1644339	0.013719	0.1657106	-0.0377726	0.1479184	-0.095682	0.1161593	-0.1500519	0.0779473	-0.2014803	0.0187914	-0.2448528	-0.0562737	-0.2557918	-0.2024103	0.1526787	-0.1801368	0.1398688	-0.2107309	0.118825	-0.0903471	0.0896397	-0.075376	0.0768346	-0.1476294	0.042827	-0.0915766	-0.001664	0.1614505	-0.0555325	0.1361676	-0.123197	0.0972988	-0.1784312	0.0433756	-0.2307707	-0.0209379	-0.2540598	0.1367758	0.0516098	0.1103412	0.0751131	0.0793838	0.0938028	0.0470357	0.1092035	0.0140118	0.1230358	-0.0198794	0.1348451	-0.0542244	0.1434907	-0.0883792	0.1498513	-0.1225287	0.1546723	-0.1563715	0.1592695
