Papilio_ambrax,Papilio_antimachus,Papilio_aristodemus,Papilio_cresphontes,Papilio_deiphobus,Papilio_gigon,Papilio_glaucus,Papilio_memnon,Papilio_phestus,Papilio_polytes,Papilio_polyxenes,Papilio_protenor,Papilio_slateri,Papilio_thoas,Papilio_troilus,Papilio_xuthus,Papilio_zelicaon
-0.13921319999999998,-0.12109154666666666,-0.1984864,-0.18843522666666668,-0.15047121333333333,-0.1585738133333333,-0.19422041333333334,-0.13101413333333334,-0.19216534666666665,-0.15701023333333333,-0.18670404,-0.10608580000000001,-0.16921410666666667,-0.17533425333333333,-0.15865433333333334,-0.18673642666666668,-0.21825817333333336
-0.34877413333333335,-0.29319081333333336,-0.37185493333333336,-0.35063362666666664,-0.3786636,-0.37411104,-0.34430350666666665,-0.3616352,-0.37372822666666666,-0.3484582666666667,-0.34392797333333336,-0.2849930666666667,-0.3129252533333333,-0.3679292,-0.3654961733333334,-0.3121050266666667,-0.34432199999999996
-0.15150248,-0.13743316,-0.22273968,-0.21058148000000002,-0.16444084,-0.17253633333333335,-0.21677620000000003,-0.14207194666666667,-0.20868933333333334,-0.17350002666666667,-0.2008860266666667,-0.10647998666666667,-0.18926168,-0.19770677333333334,-0.17587941333333335,-0.20141085333333333,-0.23742861333333334
-0.4027224533333333,-0.3265608,-0.4381474266666667,-0.4143931466666667,-0.43534330666666665,-0.43274178666666663,-0.40743596000000004,-0.41613175999999996,-0.4286056266666667,-0.40510213333333334,-0.4051188533333333,-0.34433500000000006,-0.35391712,-0.4312454,-0.43096359999999995,-0.36982343999999995,-0.40095173333333334
-0.16389477333333333,-0.15836506133333333,-0.26105602666666666,-0.2512684533333333,-0.18331886666666666,-0.2039258,-0.24356526666666664,-0.15479798666666666,-0.22299180000000002,-0.19044993333333332,-0.2209766,-0.11217672000000001,-0.20818930666666666,-0.23949033333333333,-0.20199593333333332,-0.21505137333333335,-0.2575866133333333
-0.45665490666666664,-0.3583849733333333,-0.4903122133333333,-0.46164875999999994,-0.4891551066666667,-0.4797344933333333,-0.4688656,-0.46993184,-0.4835872,-0.46121968,-0.4630643733333333,-0.4017002,-0.39512013333333335,-0.48054581333333335,-0.4877572,-0.42679821333333334,-0.4568549333333334
-0.18113037333333334,-0.17795188,-0.31258082666666664,-0.28903532,-0.2090086,-0.23899457333333332,-0.28481769333333334,-0.17299272,-0.24588222666666665,-0.22009536,-0.2558537866666667,-0.13788585333333334,-0.22509322666666667,-0.2759357333333333,-0.24032506666666667,-0.2391528,-0.2871609466666667
-0.5086761333333333,-0.3884403066666666,-0.5290320266666667,-0.51265764,-0.5384362,-0.5219576,-0.5188285733333333,-0.5208055066666667,-0.53233256,-0.5100883333333334,-0.5091932800000001,-0.4469962666666667,-0.43805777333333334,-0.5327109333333334,-0.53858044,-0.47529106666666665,-0.5060723466666667
-0.21174621333333335,-0.20408243999999998,-0.35170702666666664,-0.32554062666666667,-0.24128489333333333,-0.27399213333333333,-0.32503694666666666,-0.20223677333333334,-0.2867934,-0.2568957333333333,-0.296068,-0.1542742,-0.24170330666666667,-0.3199586933333333,-0.2763530933333333,-0.26470969333333333,-0.3289442533333333
-0.5509964533333334,-0.4164993066666667,-0.5764921066666666,-0.5604682666666667,-0.5817382666666666,-0.5681392,-0.5666586133333333,-0.5650145333333333,-0.5654661866666667,-0.5528003333333333,-0.5492502,-0.5003632800000001,-0.4806076266666666,-0.5678059466666667,-0.5835624,-0.5137184666666667,-0.5422683466666667
